Street Name
"חניון בי""ח איכילוב - כניסה"
חניון 6009
רחוב ביאליק
"לא עיר ביאליק - ר""ג"
לא עיר 6523
רחוב ביירון
"רחוב ביל""ו"
רחוב בילויה (מעוז)
רחוב בילטמור
רחוב בילינסון
רחוב ביליס מנחם מנדל
רחוב בינט מאיר
רחוב ביריה
רחוב בירנבוים
רחוב בירנית
רחוב בית אורן
רחוב בית אל
רחוב בית אלפא
רחוב בית אשל
רחוב בית גוברין
סמטת בית הבד
סמטת 185
חניון בית הלוויות - רידינג
חניון 6003
רחוב בית הלל
סמטת בית השואבה
סמטת 365
רחוב בית חדש
רחוב בית חורון
רחוב בית יוסף
רחוב בית יצקר
רחוב בית ירח
רחוב בית לחם
רחוב בית עובד
רחוב בית פלט
רחוב בית צורי אליהו
רחוב בית קציר
רחוב בית קשת
רחוב בית רעים
רחוב בית שמאי
רחוב ביתוס
רחוב בכורי ציון
רחוב בלאס שמחה
רחוב בלבן מאיר
כיכר בלוך ארנסט
כיכר 2375
רחוב בלוך דוד
רחוב בלום ליאון
רחוב בלומנפלד קורט יהודה
רחוב בלפור
רחוב בלקינד
רחוב בלשן
רחוב בן אביגדור
רחוב בן אברהם נחמיה
רחוב בן אחיטוב
גשר בן אליעזר
גשר 9020
רחוב בן אשר
שדרות בן גוריון
שדרות 204
רחוב בן דוד חיים אלוף
רחוב בן הלל מרדכי
שביל בן זאב
שביל 777
רחוב בן זבארה
רחוב בן זומא שמעון
רחוב בן חיל
רחוב בן חסד
רחוב בן יאיר פנחס
רחוב בן יהודה
סמטת בן יהודה
סמטת 252
רחוב בן יוסף שלמה
שביל בן יעקב
שביל 1044
רחוב בן ישי
רחוב בן סירא
רחוב בן סרוק
רחוב בן עזרא
רחוב בן עזריה אלעזר
רחוב בן עטר
רחוב בן עמי
דרך בן צבי
דרך 3000
רחוב בן צדוק אלעזר
שדרות בן ציון
שדרות 350
רחוב בן שמן
רחוב בן שפרוט
"לא עיר בן-גוריון - ר""ג"
לא עיר 6528
רחוב בן-גל מיכאל האלוף
רחוב בן-חיים פאול
רחוב בן-סירה יעקב
רחוב בנבנישתי
רחוב בנטוב מרדכי
רחוב בני אפרים
רחוב בני ברק
רחוב בני בתירא
רחוב בני דן
רמפה בני דן
רמפה 6006
רחוב בני משה
רחוב בניהו
רחוב בנימין מטודלה
רחוב בנימיני אהרון
"רחוב בסוק חיים מנחם ד""ר"
רחוב בעל הטורים
רחוב בעל העקידה
רחוב בעלי התוספות
רחוב בצלאל
רחוב בצרה
רחוב בצרון
רחוב בקר אהרון
רחוב בר אילן
רחוב בר גיורא
רחוב בר הופמן
גשר בר יהודה
גשר 9018
רחוב בר יוחאי
סמטת בר יוחאי
סמטת 3545
רחוב בר כוכבא
רחוב בר-כוכבא משה (בריל)
דרך בר-לב חיים
דרך 3671
רחוב בראלי
רחוב ברגי בנימין
רחוב ברגנר אליזבת
רחוב ברגסון
רחוב ברדיצ'בסקי
רחוב ברוד מקס
רחוב ברודי חיים
רחוב ברודצקי
רחוב ברוידס אברהם
רחוב ברוך אדם
רחוב ברון עקיבא
רחוב ברוק
רחוב ברוריה
רחוב ברזאני משה
רחוב ברזיל
רחוב ברזילי
רחוב ברטונוב יהושע
רחוב בריג אמיל
רחוב בריינין ראובן
רחוב ברכיה
רחוב ברכיהו הנקדן
רחוב ברלין אליהו
רחוב ברלין ישעיה סר
שביל ברלינר
שביל 2049
רחוב ברנדט וילי
רחוב ברנדיס
רחוב ברנט
רחוב ברנפלד שמעון
רחוב ברנר
רחוב ברנשטיין אדוארד
רחוב ברנשטיין כהן
כיכר ברנשטיין לאונרד
כיכר 2138
רחוב ברסלבי יוסף (ברסלבסקי)
רחוב ברסקי יהודה לייב הלוי
רחוב ברק
רחוב ברקאי שמואל
רחוב ברקוביץ
רחוב ברש אשר
רחוב ברתיני גארי
רחוב ברתנא מרדכי
רחוב בת גלים
רחוב בת חן
רחוב בת ים
רחוב בת יפתח
רחוב בת מרים יוכבד
רחוב בת עין
רחוב בת עמי
רחוב בת ציון
רחוב בתיה (לישנסקי)
רחוב גאולה
חוף גאולה
חוף 7313
רחוב גבולות
רחוב גביזון חי
רחוב גבירטיג מרדכי
כיכר גבע יוסף
כיכר 1344
רחוב גבעולים
רחוב גבעון
רחוב גבעת בן יהודה
רחוב גבעת המורה
רחוב גבעת התחמושת
"רחוב גבעת כ""ח"
חוף גבעת עליה
חוף 7319
רחוב גבעתי
רחוב גברן חליל גברן
רחוב גדיש
רחוב גדליה
"רחוב גדנ""ע"
רחוב גדעון
רחוב גדרה
רחוב גואל
רחוב גובר רבקה
רחוב גוז'יקוב
שביל גוטלובר
שביל 1041
רחוב גוטליב
רחוב גוטמן נחום
רחוב גולדברג
רחוב גולדמן נחום
רחוב גולדפאדן
כיכר גולדשטיין גורן
כיכר 3958
רחוב גולומב
רחוב גולי אריתראה
רחוב גולי קניה
סמטת גולי קניה
סמטת 928
רחוב גולינקין מרדכי
רחוב גונן
רחוב גופר
רחוב גור (מוטה) מרדכי
סמטת גור אריה
סמטת 366
רחוב גור יהודה
כיכר גורדון אורי
כיכר 2394
רחוב גורדון יהודה ליב
חוף גורדון יהודה ליב
חוף 7308
מבוא גורוכוב ידידיה אדמון
מבוא 2088
שדרות גורי ישראל
שדרות 3600
רחוב גורלסקי ברוך
רחוב גורקי
רחוב גוש חלב
רחוב גוש עציון
רחוב גז    מטילדה
רחוב גזית
רחוב גזר
רחוב גייגר
רחוב גילוץ דבורה ומנחם
מבוא גילת
מבוא 861
רחוב גינוסר
שביל גינצבורג
שביל 1040
כביש ש גישה-מסוף אוניברסיטה
כביש ש 6010
רחוב גיתית
רחוב גלאנץ ליב
רחוב גלבוע אמיר
רחוב גלבלום אריה
רחוב גלוסקא זכריה
רחוב גלוסקין
גשר גלילות
גשר 9062
רחוב גלילי ישראל
רחוב גליצנשטיין
רחוב גליקסברג
רחוב גליקסון
רחוב גלעזר אליהו
רחוב גלעינית
"רחוב גמזו חיים ד""ר"
סמטת גן מאיר
סמטת 78
חניון גני התערוכה
חניון 6005
מבוא גניגר
מבוא 862
רחוב גנני
רחוב גנסין
רחוב גנתון
רחוב געש
מבוא געתון
מבוא 863
רחוב גר צדק
רחוב גרוזנברג
כיכר גרונדמן יעקב (יענקל'ה)
כיכר 1350
רחוב גרונימן
רחוב גרונר דב
"לא עיר גרונר דב (ר""ג)"
לא עיר 6561
רחוב גרוסמן חייקה
רחוב גרוסמן מאיר
מבוא גרופית
מבוא 864
רחוב גריזים
רחוב גרינבוים
רחוב גרינברג אורי צבי
כיכר גריפל יגאל
כיכר 1342
רחוב גרץ
רחוב גרציאני יצחק (זיקו)
כיכר גרשוין ג'ורג
כיכר 2377
רחוב גרשון שץ גגה
רחוב גת רימון
"רחוב ד""ר גסטר משה"
"לא עיר ד""ר כהן - ר""ג"
לא עיר 6524
"רחוב ד""ר צ'רטוק שמשון"
רחוב ד'
רחוב דאנטה
רחוב דב ממזריץ
רחוב דבורה הנביאה
רחוב דבלין אלפרד
"כיכר דג'אני פואד איסמעיל ד""ר"
כיכר 3951
רחוב דגן
רחוב דגניה
רחוב דה האז
רחוב דה וינצ'י לאונרדו
רחוב דה מודינה אריה
רחוב דה פיג'וטו
רחוב דה פיליפ אדיס (אבן זהר)
רחוב דה רוטשילד בת שבע
רחוב דואר שושנה
רחוב דובנוב
שדרות דוד המלך
שדרות 481
רחוב דוד רחל (שרעבי)
גשר דוד שיפמן
גשר 9080
רחוב דודאים
רחוב דוחן
רחוב דוידקה
רחוב דוליצקי
רחוב דולצ'ין  אריה
רחוב דון-יחייא שבתי
רחוב דונולו הרופא
רחוב דורון
רחוב דורי יעקב (רב אלוף)
רחוב דוש (קריאל גרדוש)
רחוב די רוסי
רחוב דיזנגוף
דרך דיין משה
דרך 758
רחוב דילה רינה יוסף
רחוב דימונה
רחוב דיסנצ'יק אריה
רחוב דיצה
רחוב דיק
כיכר דיק יוסף ג'ורג'
כיכר 3953
רחוב דישון
רחוב דם המכבים
כיכר דמארי שושנה
כיכר 2401
רחוב דן שיקה (ישעיהו)
רחוב דניאל
רחוב דנין יחזקאל
"לא עיר דנמרק - פ""ת"
לא עיר 6552
"לא עיר דנקנר - פ""ת"
לא עיר 6550
רחוב דעואל
רחוב דפנה
רחוב דקל
רחוב דרויאנוב
רחוב דרור
רחוב דרזנר יחיאל
גשר דריבסטור רגלי בלבד
גשר 9022
רחוב דריפוס
גשר דרך השלום
גשר 9039
גשר דרך לוד 2
גשר 9033
"מתחם דרך לח""י"
מתחם 4899
"מנהרה דרך פ""ת הקריה"
מנהרה 9505
רחוב דשבסקי
רחוב הא באייר
רחוב האגוז
רחוב האגמון
רחוב האוזנר דב
רחוב האומנים
סמטת האור
סמטת 46
רחוב האחים אל-כוויתי
רחוב האחים ביילסקי
רחוב האחים מסלאויטה
שביל האטד
שביל 1181
רחוב האלקושי
רחוב האמוראים
רחוב האסיף
שביל האספרגוס
שביל 762
רחוב האקליפטוס
"רחוב האר""י"
רחוב הארבעה
רחוב הארד
רחוב הארון אל רשיד
רחוב האשכולית
רחוב האתרוג
לא עיר הבאר
לא עיר 6542
כיכר הבימה
כיכר 367
"שדרות הבעש""ט"
שדרות 3251
רחוב הברון הירש
רחוב הברוש
רחוב הברזל
לא עיר הברכה
לא עיר 6543
רחוב הבשן
רחוב הגבור האלמוני
דרך הגבורה
דרך 731
לא עיר הגבורים
לא עיר 3716
רחוב הגדוד העברי
רחוב הגולן
רחוב הגיחון
כיכר הגייסות
כיכר 1078
סמטת הגינה
סמטת 47
רחוב הגלבוע
רחוב הגליל
רחוב הגלעד
רחוב הגמנסיה העברית
לא עיר הגנים
לא עיר 6541
רחוב הגפן
"רחוב הגר""א"
רחוב הדגה
רחוב הדגל
רחוב הדואר
רחוב הדולפין
רחוב הדייגים
שביל הדמומית
שביל 766
רחוב הדסה
רחוב הדף היומי
רחוב הדר יוסף
רחוב ההגה
דרך ההגנה
דרך 460
גשר ההגנה
גשר 9044
לא עיר ההגנה - גבעתיים
לא עיר 6536
מתחם ההגנה-נשרי צבי
מתחם 4901
רחוב ההדס
שדרות ההשכלה
שדרות 729
רחוב הוברמן
רחוב הוד מרדכי (מוטי) האלוף
רחוב הודיה
רחוב הוז דב
גשר הולכי רגל
גשר 9008
גשר הולכי רגל
גשר 9017
גשר הולכי רגל
גשר 9068
גשר הולכי רגל
גשר 9073
רחוב הולצברג שמחה
רחוב הונא
רחוב הופיין
"רחוב הופמן יעקב ד""ר"
רחוב הופנקו משה
רחוב הורודצקי
רחוב הושע
שדרות הותיקים
שדרות 3618
רחוב הזוהר
רחוב הזז חיים
רחוב הזית
רחוב הזמיר
רחוב הזרם
רחוב החבצלת
סמטת החובבים
סמטת 253
רחוב החותרים
רחוב החזיון
"שדרות החי""ל"
שדרות 640
רחוב החיטה
רחוב החלוצים
"לא עיר החלוצים - ב""ב"
לא עיר 6532
רחוב החלפנים
שביל החצב
שביל 764
רחוב החצוצרה
רחוב החרוב
רחוב החרמון
סמטת החרמון
סמטת 449
רחוב החרמש
שביל החרצית
שביל 768
רחוב החרש
רחוב החשמונאים
רחוב החשמל
"טיילת הטיילת ע""ש שלמה להט"
טיילת 106
דרך הטייסים
דרך 744
גשר הטייסים
גשר 9034
רחוב הטית זין
רחוב היהודי זיס
רחוב היימן
רחוב היינה היינריך
רחוב הייקל יוסף דר'
רחוב היכל התלמוד
כיכר היל
כיכר 213
רחוב הילדסהיימר
גשר הילטון גן העצמאות
גשר 9049
חוף הילטון דרום
חוף 7307
חוף הילטון צפון
חוף 7306
רחוב היסוד
שביל היסמין
שביל 763
"לא עיר היצירה - פ""ת"
לא עיר 6556
רחוב הירדן
רחוב הירקון
רחוב הירשביין
רחוב הירשנברג
רחוב היתד
רחוב הכובשים
רחוב הכוזרי
רחוב הכינור
רחוב הכישור
שביל הכלנית
שביל 771
כיכר הכנסת
כיכר 435
רחוב הכנסת הגדולה
רחוב הכרם
רחוב הכרמל
סמטת הכרמל
סמטת 1123
רחוב הלה טוני
רחוב הלוחמים
רחוב הלוטוס
רחוב הלוי ז'ק
רחוב הלוי משה
רחוב הלימון
רחוב הלל הזקן
רחוב הלמד הא
רחוב הלסינקי
רחוב הלענה
רחוב הלפיד
רחוב הלפרין
רחוב הלר חיים
רחוב המאבק
רחוב המאירי אביגדור
רחוב המבצעים
רחוב המגדלור
רחוב המגיד
רחוב המגיד מדובנא
רחוב המגן
כיכר המדינה
כיכר 568
כיכר המושבות
כיכר 405
רחוב המחוגה
רחוב המכבי
רחוב המכבש
רחוב המלאכה
רחוב המלחים
רחוב המליץ
כיכר המלך אלברט
כיכר 439
רחוב המלך ג'ורג'
רחוב המלך חירם
רחוב המנוע
רחוב המנור
רחוב המסגר
שדרות המעפילים
שדרות 537
רחוב המערכה
שביל המפעל
שביל 3787
רחוב המפרש
רחוב המצביאים
רחוב המצפן
רחוב המקצוע
רחוב המרד
רחוב המרפא
שביל המרץ
שביל 3788
רחוב המשביר
רחוב המשוט
רחוב המשור
רחוב המשלטים
רחוב המשמר האזרחי
רחוב המשנה
רחוב המתנדב
רחוב הנביאים
רחוב הנגב
רחוב הנגרים
רחוב הנוטר
רחוב הנופש
רחוב הנחושת
שביל הניצנים
שביל 773
"רחוב הנצי""ב"
שביל הנרקיס
שביל 774
רחוב הנשיאים
רחוב הס
רחוב הסבא משפולה
רחוב הסבוראים
רחוב הסדנה
כיכר הסוכנות
כיכר 3839
רחוב הסוללים
כיכר הסיירים
כיכר 1079
רחוב הסנה
רחוב הספינה
רחוב העבודה
רחוב העוגב
רחוב העוגן
רחוב העליה
סמטת העליה
סמטת 1127
רציף העליה השניה
רציף 3730
לא עיר העמדות(בת ים)
לא עיר 6568
רחוב העמל
לא עיר העצמאות(בת ים)
לא עיר 6566
רחוב הערמון
רחוב הפורצים
רחוב הפטיש
רחוב הפטמן
רחוב הפלך
"רחוב הפלמ""ח"
רחוב הפנינים
שביל הפרגים
שביל 769
רחוב הפרדס
לא עיר הפרחים
לא עיר 6540
רחוב הפרטיזן היהודי
רחוב הפרסה
רחוב הצבי
שביל הצבר
שביל 770
רחוב הצדף
חוף הצוק הדרומי
חוף 7302
חוף הצוק הצפוני
חוף 7301
רחוב הצורפים
שדרות הציונות
שדרות 523
שביל הצלף
שביל 776
רחוב הצנחנים
שביל הצפורן
שביל 765
רחוב הצפירה
רחוב הצרי
רחוב הקברניט
רחוב הקונגרס
רחוב הקיקיון
רחוב הקליר
רחוב הקלעים
רחוב הקנאים
רחוב הקרן
רחוב הקשת
גשר הקשתות דרך נמיר
גשר 9056
רחוב הר נבו
רחוב הר סיני
שדרות הר ציון
שדרות 400
סמטת הר ציון
סמטת 3548
"רחוב הרא""ש"
"רחוב הראב""ע"
רחוב הראובני דוד
רחוב הראל
כיכר הראל איסר
כיכר 2393
רחוב הרב באזוב דוד
רחוב הרב גורן שלמה
רחוב הרב זעפראני שלמה
רחוב הרב טולדנו
רחוב הרב ניסים
רחוב הרב עובדיה בידאני
"לא עיר הרב פרדס (ר""ג)"
לא עיר 6565
רחוב הרב קוק
רחוב הרבי מבכרך
רחוב הרבי מויטבסק
רחוב הרבי מלילוב
רחוב הרבי מפשיסחא
רחוב הרבי מקוטוב
רחוב הרבי מקוצק
רחוב הרבי מקרלין
רחוב הרבסט קרול
רציף הרברט סמואל
רציף 200
רחוב הרדוף
"רחוב הרה""ג יחיא מחבוב"
רחוב הרוגי מלכות
רחוב הרודיון
רחוב הרותם
רחוב הרטגלס
רחוב הרטוב
רחוב הרימון
רחוב הרכב
רחוב הרכבי אברהם
רחוב הרכבת
רחוב הרכש
רחוב הרמלין יוסף
רחוב הרן
"רחוב הרנ""ה"
"רחוב הרץ יוסף צבי ד""ר"
רחוב הרצוג
רחוב הרצל
"לא עיר הרצל - ר""ג"
לא עיר 6525
רחוב הרצפלד אברהם
שביל הרקפת
שביל 767
רחוב הררי
"סמטת הש""ך"
סמטת 3542
"רחוב הש""ך"
כיכר השוטר
כיכר 1321
רחוב השומר
רחוב השומרון
רחוב השופט נופך
רחוב השופטים
רחוב השופר
רחוב השוק
סמטת השוק
סמטת 177
שדרות השושנים
שדרות 2006
רחוב השחף
רחוב השחקנים
רחוב השחר
רחוב השיבולת
רחוב השיטה
רחוב השיירות
רחוב השילוח
רחוב השיפון
רחוב השכל
"רחוב השל""ה"
דרך השלום
דרך 730
רחוב השלושה
שדרות השלכת
שדרות 1114
רחוב השנית
רחוב השעורה
רחוב השפלה
רחוב השקמה
רחוב השרביט
רחוב השרון
רחוב התאנה
רחוב התבור
סמטת התבור
סמטת 371
רחוב התורן
רחוב התחיה
מתחם התחנה מנשיה
מתחם 3942
רחוב התיבונים
רחוב התלמי יהושע
רחוב התמר
רחוב התנאים
שביל התנופה
שביל 3786
רחוב התניא
"לא עיר התע""ש - גבעתיים"
לא עיר 6535
רחוב התעודה האדומה
דרך התערוכה
דרך 203
רחוב התעשיה
רחוב התקוה
רחוב התקומה
סמטת התרסי
סמטת 692
רחוב התשעים ושלוש
רחוב ו'
רחוב ואלין משה
רחוב ווג'ווד
כיכר וולך יונה
כיכר 2374
רחוב וולמן יהודה
רחוב וולפסון
כיכר וולפסון
כיכר 9550
מבוא וולקר
מבוא 4221
רחוב וורמיזה
רחוב ויזל
רחוב ויטל חיים
"רחוב ויטנברג (""לאו"")יצחק"
"רחוב וייז ג'ורג' ד""ר"
רחוב ויינר זאב
רחוב ויינשל
רחוב וייס איזיק הירש
רחוב וייס יעקב
רחוב ויל קורט
רחוב וילון
רחוב וילנא
רחוב וילנסקי משה
רחוב וילסון
רחוב וינגייט
רחוב וינשטיין נחום
רחוב ויסבורג חיים
רחוב ויסוצקי
רחוב ויסר חנה ומרדכי
רחוב ויצמן
רחוב ויקטור הוגו
רחוב ויתקין
רחוב וכטנגוב
"רחוב ולבה יואל ד""ר"
רחוב ולנברג ראול
רחוב ולנסיה
רחוב ונטורה משה
רחוב וסרמן יעקב
רחוב ועידת קטוביץ
רחוב וקנין רפי
רחוב ורבורג
רחוב ורד
רחוב ורדיאל
רחוב ורשבסקי
שדרות ושינגטון
שדרות 3558
רחוב ותיק
"רחוב ז""ק משה"
רחוב ז'בוטינסקי
"לא עיר ז'בוטינסקי (פ""ת)"
לא עיר 6562
"לא עיר ז'בוטינסקי - ר""ג"
לא עיר 6520
רחוב ז'ורס ז'אן
רחוב זאב
רחוב זאבי רחבעם (גנדי)
רחוב זבד
רחוב זבולון
רחוב זהבי דוד
רחוב זולא אמיל
רחוב זולצר
רחוב זטורי משה
רחוב זיגלבוים
רחוב זיו רבקה
רחוב זייד אלכסנדר
רחוב זימן יוסף
רחוב זינגר בשביס יצחק
"רחוב זיע""א יוסף חיים"
רחוב זיקים
רחוב זכות משה
רחוב זכרון יעקב
רחוב זכרון קדושים
רחוב זכריה
שביל זכריני
שביל 772
רחוב זלדה (שניאורסון מישקובסקי)
רחוב זלוציסטי
רחוב זלטופולסקי הלל
רחוב זליבנסקי דויד הלוי
רחוב זליג
רחוב זליגמן מקס
רחוב זלצמן פנינה פרופ'
רחוב זמיר עמנואל
רחוב זמנהוף
רחוב זמר חנה
סמטת זנגביל
סמטת 238
רחוב זנגביל ישראל
רחוב זעירא מרדכי
"רחוב זק""ש נלי"
רחוב זרובבל
רחוב זרובבל יעקב
רחוב זרח
רחוב זריצקי
רחוב זרעים
